incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
522621256,14014059,08/08/2014 02:11:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,MONTGOMERY AV & ST JAMES CT,,HAYWARD,CA,94541,null,37.6828425547869,-122.098802219079,08/12/2014 09:07:59 PM,09/29/2014 09:20:35 PM,POINT (-122.098802 37.682843),14,Friday,Other Sexual Offense
527062117,14014047,08/08/2014 02:11:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,CHERRY WAY & MISSION BLVD,,HAYWARD,CA,null,null,37.6830256035873,-122.097458243756,08/17/2014 09:07:55 PM,09/29/2014 09:20:34 PM,POINT (-122.097458 37.683026),14,Friday,Other Sexual Offense
530627507,14014039,08/08/2014 04:18:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,BLOSSOM WAY & MISSION BLVD,,HAYWARD,CA,94541,null,37.6818124002903,-122.0957732451,08/21/2014 09:08:22 PM,09/18/2014 09:21:10 PM,POINT (-122.095773 37.681812),16,Friday,Other Sexual Offense
531908390,14014056,08/08/2014 02:11:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,CHERRY WAY & MISSION BLVD,,HAYWARD,CA,null,null,37.6830256035873,-122.097458243756,08/22/2014 09:08:18 PM,09/23/2014 09:18:23 PM,POINT (-122.097458 37.683026),14,Friday,Other Sexual Offense
531908391,14014069,08/08/2014 02:11:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,E 14TH ST & 163RD AV,,SAN_LEANDRO,CA,null,null,37.6960207918675,-122.115367061318,08/22/2014 09:08:18 PM,09/29/2014 09:20:35 PM,POINT (-122.115367 37.696021),14,Friday,Other Sexual Offense
536226126,14014941,08/22/2014 08:19:00 PM,LOITER:INTENT:PROSTITUTION [999],LOITER:INTENT:PROSTITUTION,,DERBY AV & INTERNATIONAL BLVD,,OAKLAND,CA,null,null,37.7782672587181,-122.227170237345,08/27/2014 09:08:10 PM,09/17/2014 09:19:09 PM,POINT (-122.22717 37.778267),20,Friday,Other Sexual Offense
536227016,14014041,08/08/2014 02:11:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,CHERRY WAY & MONTGOMERY AV,,HAYWARD,CA,null,null,37.6823827741303,-122.09827391201,08/27/2014 09:08:29 PM,09/15/2014 09:20:44 PM,POINT (-122.098274 37.682383),14,Friday,Other Sexual Offense
537142292,14014040,08/08/2014 04:15:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,CHERRY WAY & MISSION BLVD,,HAYWARD,CA,94541,null,37.6830256035873,-122.097458243756,08/28/2014 09:08:34 PM,09/29/2014 09:20:33 PM,POINT (-122.097458 37.683026),16,Friday,Other Sexual Offense
538930239,14014036,08/08/2014 02:11:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,CHERRY WAY & MONTGOMERY AV,,HAYWARD,CA,94541,null,37.6823827741303,-122.09827391201,08/30/2014 09:08:22 PM,10/06/2014 09:12:26 PM,POINT (-122.098274 37.682383),14,Friday,Other Sexual Offense
541319050,14014067,08/08/2014 09:25:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,E 14TH ST & 163RD AV,,SAN_LEANDRO,CA,94578,null,37.6960207918675,-122.115367061318,09/02/2014 09:08:40 PM,09/23/2014 09:18:20 PM,POINT (-122.115367 37.696021),21,Friday,Other Sexual Offense
544157895,14014057,08/08/2014 02:11:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,100 Block AV & LOS BANOS ST,,SAN_LEANDRO,CA,94578,null,37.6939610543136,-122.105297894282,09/04/2014 09:08:32 PM,10/06/2014 09:12:25 PM,POINT (-122.105298 37.693961),14,Friday,Other Sexual Offense
545626949,14014042,08/08/2014 02:11:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,CHERRY WAY & MONTGOMERY AV,,HAYWARD,CA,null,null,37.6823827741303,-122.09827391201,09/05/2014 09:10:13 PM,10/01/2014 09:13:51 PM,POINT (-122.098274 37.682383),14,Friday,Other Sexual Offense
545626950,14014064,08/08/2014 02:11:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,CHERRY WAY & MISSION BLVD,,HAYWARD,CA,94541,null,37.6830256035873,-122.097458243756,09/05/2014 09:10:13 PM,09/29/2014 09:20:35 PM,POINT (-122.097458 37.683026),14,Friday,Other Sexual Offense
551203667,14014980,08/23/2014 02:25:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,100 Block AV & FOOTHILL BLVD,,SAN_LEANDRO,CA,null,null,37.6955209294227,-122.103706890944,09/11/2014 09:08:29 PM,10/01/2014 09:13:42 PM,POINT (-122.103707 37.695521),14,Saturday,Other Sexual Offense
556764678,14016218,09/12/2014 06:33:00 PM,LOITER:INTENT:PROSTITUTION [999],LOITER:INTENT:PROSTITUTION,,1 Block AV & INTERNATIONAL BLVD,,OAKLAND,CA,94606,null,37.7864691221309,-122.240997662911,09/17/2014 09:08:12 PM,10/22/2014 09:17:18 PM,POINT (-122.240998 37.786469),18,Friday,Other Sexual Offense
564739685,14016995,09/25/2014 07:31:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,E 16TH ST & 24TH AV,,OAKLAND,CA,null,null,37.7841720286532,-122.232845121583,09/26/2014 09:08:18 PM,10/20/2014 09:12:27 PM,POINT (-122.232845 37.784172),19,Thursday,Other Sexual Offense
564739687,14016993,09/25/2014 07:00:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,E 17TH ST & 21ST AV,,OAKLAND,CA,null,null,37.787716171985,-122.236527409839,09/26/2014 09:08:18 PM,10/20/2014 09:12:28 PM,POINT (-122.236527 37.787716),19,Thursday,Other Sexual Offense
