"CrimeType","DateTime","CaseNumber","Description","PoliceBeat","Address","City","State"
"VANDALISM","2018-04-02 17:30:00","18-017746","VANDALISM","09X","FAIRMOUNT AV & MACARTHUR BLVD","Oakland","CA"
"THEFT/LARCENY","2018-05-04 20:45:00","18-022428","BURGLARY-AUTO","03X","10TH ST & ALICE ST","Oakland","CA"
"ASSAULT","2018-05-04 21:30:00","18-022429","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","22Y","3200 MACARTHUR BLVD","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-05-04 21:46:00","18-022432","POSSESS NARCOTIC CONTROLLED SUBSTANCE","04X","500 21ST ST","Oakland","CA"
"ASSAULT","2018-05-01 18:13:00","18-021841","OBSTRUCTS/RESISTS PUBLIC OFFICER/ETC","19X","1900 EMBARCADERO COVE","Oakland","CA"
"BURGLARY","2018-05-01 19:40:00","18-021842","BURGLARY-NO FORCE","08X","3300 ELM ST","Oakland","CA"
"ROBBERY","2018-03-03 13:00:00","18-011183","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","08X","2800 TELEGRAPH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-03 12:00:00","18-011185","VEHICLE THEFT - AUTO","24X","2200 39TH AV","Oakland","CA"
"WEAPONS","2018-05-01 19:42:00","18-021843","CARRY CONCEALED WEAPON IN VEH W/PRIOR CONVICTION","25Y","EDWARDS AV & WB I580","Oakland","CA"
"ARSON","2018-03-02 21:30:00","18-011073","ARSON:INHABITED STRUCTURE/PROPERTY","35X","9400 MACARTHUR BLVD","Oakland","CA"
"ASSAULT","2018-05-03 11:25:00","18-022143","EXHIBIT DEADLY WEAPON OTHER THAN FIREARM","24X","2200 35TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-03 11:19:00","18-022146","VEHICLE THEFT - AUTO","22Y","3200 MACARTHUR BLVD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-01 20:00:00","18-021990","VEHICLE THEFT - OTHER VEHICLES","17Y","1400 E 34TH ST","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-05-03 17:58:00","18-022206","TRANSPORT/SELL NARCOTIC/CONTROLLED SUBSTANCE","30X","78TH AV & ARTHUR ST","Oakland","CA"
"THEFT/LARCENY","2018-03-02 23:00:00","18-011202","BURGLARY-AUTO","19X","100 E 16TH ST","Oakland","CA"
"THEFT/LARCENY","2018-05-04 02:45:00","18-022277","BURGLARY-AUTO","24X","4000 MERA ST","Oakland","CA"
"VANDALISM","2018-05-01 10:30:00","18-022286","VANDALISM [UNDER $400]","35X","2700 ALVINGROOM CT","Oakland","CA"
"THEFT/LARCENY","2018-02-22 20:00:00","18-009645","THEFT","30Y","6900 BANCROFT AV","Oakland","CA"
"ASSAULT","2018-05-03 21:20:00","18-022236","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","21Y","2100 FRUITVALE AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-22 22:00:00","18-009677","VEHICLE THEFT - AUTO","26Y","1200 76TH AV","Oakland","CA"
"VANDALISM","2018-02-22 22:38:00","18-009644","VANDALISM","27Y","5400 BANCROFT AV","Oakland","CA"
"THEFT/LARCENY","2018-05-03 22:00:00","18-022243","BURGLARY-AUTO","04X","1800 WEBSTER ST","Oakland","CA"
"VANDALISM","2018-05-04 21:40:00","18-022434","VANDALISM","05X","1800 WEST ST","Oakland","CA"
"THEFT/LARCENY","2018-03-02 19:00:00","18-011147","BURGLARY-AUTO","20X","1200 26TH AV","Oakland","CA"
"ASSAULT","2018-03-03 10:12:00","18-011149","FORCE/ADW-KNIFE:GBI","23X","4000 ALAMEDA AV","Oakland","CA"
"ASSAULT","2018-05-04 22:20:00","18-022437","BATTERY","24X","2200 41ST AV","Oakland","CA"
"THEFT/LARCENY","2018-05-04 13:30:00","18-022438","THEFT","19X","1400 20TH AV","Oakland","CA"
"ASSAULT","2018-05-04 23:08:00","18-022442","BATTERY","34X","1600 82ND AV","Oakland","CA"
"ASSAULT","2018-05-01 21:02:00","18-021845","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","18Y","1700 E 22ND ST","Oakland","CA"
"BURGLARY","2018-05-01 06:00:00","18-021846","BURGLARY-FORCIBLE ENTRY","14Y","600 OAKLAND AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-02 21:01:00","18-011075","VEHICLE THEFT - AUTO","32X","10500 SAN LEANDRO ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-01 10:00:00","18-021850","SC STOLEN VEHICLE - TRUCKS AND BUSES","23X","4000 ALAMEDA AV","Oakland","CA"
"DUI","2018-05-01 21:02:00","18-021851","DUI ALCOHOL/DRUGS","10X","5800 SAN PABLO AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-01 20:30:00","18-021852","ATTEMPT VEHICLE THEFT-AUTO","07X","2400 ADELINE ST","Oakland","CA"
"ASSAULT","2018-05-03 23:30:00","18-022253","ASSAULT WITH FIREARM ON PERSON","02Y","1600 8TH ST","Oakland","CA"
"THEFT/LARCENY","2018-03-03 13:30:00","18-011203","BURGLARY-AUTO","08X","38TH ST & MANILA AV","Oakland","CA"
"THEFT/LARCENY","2018-03-03 15:05:00","18-011204","BURGLARY-AUTO","25X","4000 MASTERSON ST","Oakland","CA"
"VANDALISM","2018-03-03 16:15:00","18-011205","VANDALISM (AMENDED)","26Y","1200 75TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-03 16:13:00","18-011206","VEHICLE THEFT - AUTO","30Y","7200 BANCROFT AV","Oakland","CA"
"ASSAULT","2018-05-03 20:44:00","18-022254","BATTERY","30Y","2300 82ND AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-22 19:00:00","18-009682","VEHICLE THEFT - AUTO","35Y","4000 OAK HILL RD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-22 17:30:00","18-009687","SC STOLEN VEHICLE - AUTO","15X","300 ATHOL AV","Oakland","CA"
"ASSAULT","2018-03-02 19:07:00","18-011066","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","07X","3000 ADELINE ST","Oakland","CA"
"THEFT/LARCENY","2018-04-30 05:30:00","18-021761","THEFT","30X","2500 66TH AV","Oakland","CA"
"ASSAULT","2018-03-03 12:50:00","18-011172","EXHIBIT DEADLY WEAPON OTHER THAN FIREARM","27X","1600 HIGH ST","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-05-03 19:01:00","18-022248","POSSESS MARIJUANA/HASHISH FOR SALE","02Y","1400 7TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-04 21:00:00","18-022444","VEHICLE THEFT - AUTO","27Y","4600 INTERNATIONAL BLVD","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-05-04 23:45:00","18-022446","POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA","08X","500 27TH ST","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-05-04 23:17:00","18-022449","POSSESS CONTROLLED SUBSTANCE","30X","7900 HOLLY ST","Oakland","CA"
"BURGLARY","2018-05-04 11:00:00","18-022451","BURGLARY-FORCIBLE ENTRY","20X","1500 24TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-05 17:00:00","18-017361","SC STOLEN VEHICLE - AUTO","14Y","800 WALKER AV","Oakland","CA"
"ASSAULT","2018-03-02 22:03:00","18-011079","BATTERY","34X","1600 85TH AV","Oakland","CA"
"BURGLARY","2018-02-20 17:00:00","18-009714","SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950","26Y","6400 INTERNATIONAL BLVD","Oakland","CA"
