"CrimeType","DateTime","CaseNumber","Description","PoliceBeat","Address","City","State"
"THEFT/LARCENY","2018-03-13 11:21:00","18-012965","THEFT","99X","600 ESCOBAR ST","Oakland","CA"
"FRAUD","2018-03-13 11:21:00","18-012963","GET CREDIT/ETC OTHER'S ID","03Y","400 7TH ST","Oakland","CA"
"THEFT/LARCENY","2018-03-13 11:21:00","18-012966","PETTY THEFT","99X","900 CHANSLOR AVE","Oakland","CA"
"ROBBERY","2018-03-13 10:47:00","18-012968","CARJACKING WITH FIREARM","07X","2700 ALICIA ST","Oakland","CA"
"ASSAULT","2018-03-10 01:00:00","18-012572","BATTERY W/SERIOUS BODILY INJURY","04X","2200 MARTIN LUTHER KING JR W","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-22 00:30:00","18-014519","VEHICLE THEFT - AUTO","15X","200 ACTON PL","Oakland","CA"
"ASSAULT","2018-03-10 22:57:00","18-012573","BATTERY","31Z","500 105TH AV","Oakland","CA"
"ASSAULT","2018-03-10 22:30:00","18-012571","WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER","33X","8700 D ST","Oakland","CA"
"ASSAULT","2018-03-24 23:57:00","18-015016","EXHIBIT FIREARM","30X","7800 LOCUST ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-25 00:33:00","18-015017","VEHICLE THEFT - AUTO","08X","500 SYCAMORE ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-23 21:00:00","18-015061","VEHICLE THEFT - AUTO","10Y","5500 ADELINE ST","Oakland","CA"
"ROBBERY","2018-03-11 10:44:00","18-012710","ATTEMPTED ROBBERY-OTHER DANGEROUS WEAPON","19X","500 INTERNATIONAL BLVD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-23 22:45:00","18-015063","VEHICLE THEFT - AUTO","33X","9400 E ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-24 22:00:00","18-015064","VEHICLE THEFT - AUTO","15X","700 BROOKLYN AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-11 05:00:00","18-012708","VEHICLE THEFT - AUTO","06X","800 34TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-02 08:30:00","18-021904","VEHICLE THEFT - AUTO","29X","2600 63RD AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-07 22:00:00","18-023038","VEHICLE THEFT - AUTO","16Y","1400 ALLMAN ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-12 11:45:00","18-013022","VEHICLE THEFT - AUTO","13Y","00 HILLER DR","Oakland","CA"
"ROBBERY","2018-03-12 14:30:00","18-012836","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","24X","38TH AVE & NEVIL ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-11 13:00:00","18-012838","VEHICLE THEFT - AUTO","12Y","5300 BOYD AV","Oakland","CA"
"THEFT/LARCENY","2018-03-23 18:00:00","18-015120","BURGLARY-AUTO","14Y","100 SANTA ROSA AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-11 23:00:00","18-012841","VEHICLE THEFT - AUTO","10Y","700 47TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-02 07:30:00","18-022080","VEHICLE THEFT - AUTO","19X","1200 18TH AV","Oakland","CA"
"THEFT/LARCENY","2018-05-08 01:30:00","18-023040","BURGLARY-AUTO","22X","3400 COOLIDGE AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-02 22:00:00","18-022095","VEHICLE THEFT - AUTO","09X","4200 GILBERT ST","Oakland","CA"
"VANDALISM","2018-03-21 18:00:00","18-014539","VANDALISM","21Y","3200 GALINDO ST","Oakland","CA"
"THEFT/LARCENY","2018-03-22 02:30:00","18-014541","BURGLARY-AUTO","06X","33RD ST & WEST ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-02 21:00:00","18-022097","VEHICLE THEFT - AUTO","02Y","1600 10TH ST","Oakland","CA"
"ROBBERY","2018-05-07 15:58:00","18-022951","ROBBERY/INHABITED DWELLING - FIREARM","34X","1700 89TH AV","Oakland","CA"
"ASSAULT","2018-03-11 23:20:00","18-012576","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","23X","1900 33RD AV","Oakland","CA"
"ASSAULT","2018-03-11 20:00:00","18-012578","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","33X","1200 96TH AV","Oakland","CA"
"ASSAULT","2018-03-11 00:30:00","18-012579","BATTERY","31Z","300 105TH AV","Oakland","CA"
"DUI","2018-03-11 01:18:00","18-012581","DUI ALCOHOL/DRUGS","04X","1900  MADISON","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-10 20:00:00","18-012589","VEHICLE THEFT - AUTO","02X","1000 CHESTNUT ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-11 22:00:00","18-012717","VEHICLE THEFT - AUTO","31X","6600 OAKPORT ST","Oakland","CA"
"WEAPONS","2018-03-11 23:30:00","18-012719","CARRY LOADED FIREARM:IN PUBLIC PLACE","35X","3100 98TH AV","Oakland","CA"
"ROBBERY","2018-03-11 23:30:00","18-012720","ROBBERY-KNIFE OR CUTTING INSTRUMENT","06X","3100 SAN PABLO AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-11 23:52:00","18-012716","VEHICLE THEFT - AUTO","26Y","1200 65TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-10 18:00:00","18-012722","VEHICLE THEFT - AUTO","32Y","2000 104TH AV","Oakland","CA"
"ASSAULT","2018-03-09 11:30:00","18-012724","SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC","30X","7200 LOCKWOOD ST","Oakland","CA"
"VANDALISM","2018-03-25 15:30:00","18-015106","VANDALISM","24Y","2900 MINNA AV","Oakland","CA"
"ASSAULT","2018-03-25 15:36:00","18-015107","BATTERY","21Y","2400 COOLIDGE AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-25 03:30:00","18-015110","VEHICLE THEFT - AUTO","77X","12TH ST & LAKE MERRITT BLVD","Oakland","CA"
"VANDALISM","2018-05-08 08:00:00","18-023041","VANDALISM [UNDER $1,000] (AMENDED)","35X","8800 HILLSIDE ST","Oakland","CA"
"THEFT/LARCENY","2018-05-10 15:30:00","18-022954","BURGLARY-AUTO","19X","1400 BLOCK OF 9TH AV","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-05-02 13:20:00","18-021971","POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA","34X","1600 89TH AV","Oakland","CA"
"ASSAULT","2018-03-13 13:15:00","18-013000","ASSAULT WITH FIREARM ON PERSON","30X","7700 INTERNATIONAL BLVD","Oakland","CA"
"ASSAULT","2018-03-09 17:00:00","18-013001","SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC","26Y","1100 65TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-13 16:30:00","18-013034","VEHICLE THEFT - AUTO","12X","500 45TH ST","Oakland","CA"
"ASSAULT","2018-03-13 11:30:00","18-012989","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","04X","1400 HARRISON ST","Oakland","CA"
"DISTURBING THE PEACE","2018-02-21 00:00:00","18-010541","DISTURB THE PEACE","03Y","400 7TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-02 20:43:00","18-022035","VEHICLE THEFT - AUTO","03X","1200 OAK ST","Oakland","CA"
"VANDALISM","2018-05-02 12:00:00","18-022036","VANDALISM","04X","600 15TH ST","Oakland","CA"
"ASSAULT","2018-03-11 03:56:00","18-012591","BATTERY","02X","900 ADELINE ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-10 17:30:00","18-012592","VEHICLE THEFT - AUTO","30X","7100 WELD ST","Oakland","CA"
"ASSAULT","2018-03-11 05:04:00","18-012594","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","33X","1300 81ST AV","Oakland","CA"
"ROBBERY","2018-03-11 05:30:00","18-012598","ROBBERY-OTHER DANGEROUS WEAPON","31X","7600 OAKPORT ST","Oakland","CA"
"THEFT/LARCENY","2018-03-11 07:10:00","18-012599","BURGLARY-AUTO","03Y","500 8TH ST","Oakland","CA"
"THEFT/LARCENY","2018-03-10 15:30:00","18-012603","THEFT","32Y","2700 99TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-12 01:27:00","18-012727","VEHICLE THEFT - AUTO","21Y","3000 MAPLE AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-09 17:37:00","18-013003","SC STOLEN VEHICLE - AUTO","08X","600 34TH ST","Oakland","CA"
"ASSAULT","2018-05-02 08:07:00","18-021905","BATTERY","26Y","64TH AV & INTERNATIONAL BLVD","Oakland","CA"
"ROBBERY","2018-03-12 21:26:00","18-012889","ROBBERY-FIREARM","08X","2900 BROADWAY","Oakland","CA"
"HOMICIDE","2018-03-12 21:55:00","18-012892","MURDER","03X","1300 BROADWAY","Oakland","CA"
"VANDALISM","2018-03-09 11:00:00","18-012729","VANDALISM:DAMAGE PROPERTY","25X","3500 MAYBELLE AV","Oakland","CA"
"VANDALISM","2018-05-02 04:45:00","18-021911","VANDALISM-$400+","30X","6900 KRAUSE AV","Oakland","CA"
"VANDALISM","2018-03-12 15:27:00","18-012842","VANDALISM-$400+","21Y","3300 ARKANSAS ST","Oakland","CA"
"THEFT/LARCENY","2018-05-07 20:30:00","18-023035","BURGLARY-AUTO","22Y","COOLIDGE AV & HOPKINS PL","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-12 09:18:00","18-012846","VEHICLE THEFT - AUTO","33X","8000 SAN LEANDRO ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-12 15:20:00","18-012849","VEHICLE THEFT - AUTO","06X","900 37TH ST","Oakland","CA"
"ASSAULT","2018-03-25 13:00:00","18-015117","THREAT CRIME:INT:TERRORIZE","13X","00 WILDING LN","Oakland","CA"
"ASSAULT","2018-03-22 02:42:00","18-014510","BATTERY","26Y","54TH AV & INTERNATIONAL BLVD","Oakland","CA"
"DISTURBING THE PEACE","2018-03-24 18:00:00","18-015003","DISTURB THE PEACE","04X","500 18TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-13 11:28:00","18-012969","VEHICLE THEFT - AUTO","06X","3600 MARTIN LUTHER KING JR W","Oakland","CA"
"DISTURBING THE PEACE","2018-02-22 04:00:00","18-010542","DISTURB THE PEACE","04X","600 17TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-12 23:00:00","18-012977","VEHICLE THEFT - AUTO","12Y","5400 CLAREMONT AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-12 17:00:00","18-012982","VEHICLE THEFT - AUTO","21Y","2800 E 22ND ST","Oakland","CA"
"THEFT/LARCENY","2018-03-13 10:00:00","18-012983","BURGLARY-AUTO","08X","34TH ST & WEBSTER ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-07 16:31:00","18-022957","VEHICLE THEFT - AUTO","21X","2700 BARRY PL","Oakland","CA"
"THEFT/LARCENY","2018-05-08 08:00:00","18-023092","THEFT","21X","E 24TH ST","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-05-02 23:56:00","18-022053","POSSESS/PURCHASE COCAINE BASE FOR SALE","21X","2300 E 17TH ST","Oakland","CA"
"ASSAULT","2018-03-25 00:50:00","18-015020","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","09X","3800 HARRISON ST","Oakland","CA"
"THEFT/LARCENY","2018-03-24 07:30:00","18-015021","THEFT","04X","600 14TH ST","Oakland","CA"
"ROBBERY","2018-05-08 14:30:00","18-023095","ATTEMPTED ROBBERY-STRONG-ARM","31X","400 HEGENBERGER RD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-12 02:45:00","18-012732","VEHICLE THEFT - AUTO","32X","100TH AV & E ST","Oakland","CA"
"THEFT/LARCENY","2018-03-11 10:00:00","18-012735","THEFT","35Y","00 SHADOW MOUNTAIN ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-10 23:00:00","18-012736","VEHICLE THEFT - AUTO","15X","600 ALMA AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-06 08:00:00","18-012457","VEHICLE THEFT - AUTO","03Y","400 7TH ST","Oakland","CA"
"ASSAULT","2018-03-12 04:00:00","18-012738","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","02Y","1800 14TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-11 20:00:00","18-012739","VEHICLE THEFT - AUTO","26X","6200 OAKPORT ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-08 19:15:00","18-012267","VEHICLE THEFT - AUTO","22X","2200 BYWOOD DR","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-25 18:15:00","18-015121","VEHICLE THEFT - AUTO","21X","2200 INYO AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-07 22:30:00","18-012268","VEHICLE THEFT - AUTO","27Y","2400 65TH AV","Oakland","CA"
"ASSAULT","2018-03-12 11:00:00","18-012850","THREAT CRIME:INT:TERRORIZE","06X","3300 SAN PABLO AV","Oakland","CA"
"THEFT/LARCENY","2018-03-12 16:58:00","18-012854","GRAND THEFT","08X","2300 TELEGRAPH AV","Oakland","CA"
"ASSAULT","2018-03-25 15:30:00","18-015122","THREAT CRIME:INT:TERRORIZE","21Y","3300 ARKANSAS ST","Oakland","CA"
"THEFT/LARCENY","2018-03-13 11:53:00","18-012984","BURGLARY-AUTO","20X","400 LANCASTER ST","Oakland","CA"
"ASSAULT","2018-05-07 16:00:00","18-022987","THREAT CRIME:INT:TERRORIZE","20X","1400 MILLER AV","Oakland","CA"
"ASSAULT","2018-03-24 22:40:00","18-015004","FORCE/ADW-KNIFE:GBI","20X","300 23RD AV","Oakland","CA"
"ROBBERY","2018-05-07 21:55:00","18-022988","ROBBERY-FIREARM","22X","2200 MACARTHUR BLVD","Oakland","CA"
"WEAPONS","2018-03-13 12:09:00","18-012986","PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION","30X","8100 HOLLY ST","Oakland","CA"
"ASSAULT","2018-05-02 19:37:00","18-022039","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","06X","3300 MARTIN LUTHER KING JR W","Oakland","CA"
"ASSAULT","2018-03-22 07:00:00","18-014520","BATTERY","04X","1700 MARTIN LUTHER KING JR W","Oakland","CA"
"ROBBERY","2018-05-02 21:30:00","18-022056","CARJACKING - STRONGARM","03X","100 10TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-07 10:30:00","18-023036","VEHICLE THEFT - AUTO","23X","3400 E 12TH ST","Oakland","CA"
"ROBBERY","2018-03-11 07:50:00","18-012604","ROBBERY-FIREARM","32X","9900 WALNUT ST","Oakland","CA"
"BURGLARY","2018-03-11 05:20:00","18-012606","BURGLARY-FORCIBLE ENTRY","27Y","5200 INTERNATIONAL BLVD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-10 22:00:00","18-012630","VEHICLE THEFT - AUTO","02Y","900 CENTER ST","Oakland","CA"
"BURGLARY","2018-03-12 03:45:00","18-012740","BURGLARY-FORCIBLE ENTRY","30Y","7800 MACARTHUR BLVD","Oakland","CA"
"BURGLARY","2018-03-12 04:19:00","18-012742","BURGLARY-FORCIBLE ENTRY","16Y","4500 PARK BLVD","Oakland","CA"
"BURGLARY","2018-03-12 05:05:00","18-012743","BURGLARY-FORCIBLE ENTRY","03X","800 HARRISON ST","Oakland","CA"
"DISTURBING THE PEACE","2018-05-02 06:38:00","18-021918","DISTURB THE PEACE","03Y","400 7TH ST","Oakland","CA"
"ASSAULT","2018-03-12 07:30:00","18-012753","INFLICT CRPL INJ SP/COHAB","26Y","8000 RUDSDALE ST","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-03-25 10:36:00","18-015065","POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA","06X","600 27TH ST","Oakland","CA"
"ROBBERY","2018-05-07 22:22:00","18-022994","ROBBERY-FIREARM","21X","2700 23RD AV","Oakland","CA"
"ASSAULT","2018-03-12 11:00:00","18-012857","THREAT CRIME:INT:TERRORIZE","06X","3300 SAN PABLO AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-08 22:00:00","18-012276","VEHICLE THEFT - AUTO","32Y","2300 103RD AV","Oakland","CA"
"ASSAULT","2018-05-07 22:40:00","18-022995","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","08X","27TH ST & NORTHGATE AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-12 12:30:00","18-012860","VEHICLE THEFT - AUTO","10X","5500 FREMONT ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-22 01:47:00","18-014511","VEHICLE THEFT - AUTO","31X","300 HEGENBERGER RD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-10 00:30:00","18-012465","VEHICLE THEFT - AUTO","13Z","6900 THORNHILL DR","Oakland","CA"
"ASSAULT","2018-03-10 10:48:00","18-012467","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","21Y","3200 E 27TH ST","Oakland","CA"
"THEFT/LARCENY","2018-03-10 00:00:00","18-012476","THEFT","03Y","400 7TH ST","Oakland","CA"
"ASSAULT","2018-03-10 11:06:00","18-012477","THREAT CRIME:INT:TERRORIZE","26Y","1000 77TH AV","Oakland","CA"
"ASSAULT","2018-03-09 22:50:00","18-012609","SHOOT AT INHABITED DWELLING/VEHICLE/ETC","30X","2500 68TH AV","Oakland","CA"
"BURGLARY","2018-03-10 04:10:00","18-012615","BURGLARY-NO FORCE","03X","200 8TH ST","Oakland","CA"
"THEFT/LARCENY","2018-05-08 01:00:00","18-023039","BURGLARY-AUTO","22X","3400 COOLIDGE AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-22 07:50:00","18-014522","VEHICLE THEFT - AUTO","07X","2500 CAMPBELL ST","Oakland","CA"
"THEFT/LARCENY","2018-03-08 18:00:00","18-012356","THEFT","30Y","8100 HILLSIDE ST","Oakland","CA"
"THEFT/LARCENY","2018-03-11 12:35:00","18-012632","THEFT","26X","47TH AV & INTERNATIONAL BLVD","Oakland","CA"
"WEAPONS","2018-03-11 19:15:00","18-012700","MISD-ILL USE OF TEAR GAS/TEAR GAS WEAPON","14X","600 BELLEVUE AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-11 21:54:00","18-012702","VEHICLE THEFT - AUTO","12Y","5500 TELEGRAPH AV","Oakland","CA"
"THEFT/LARCENY","2018-03-25 09:40:00","18-015067","BURGLARY-AUTO","31X","8400 EDGEWATER DR","Oakland","CA"
"ASSAULT","2018-03-25 09:00:00","18-015069","BATTERY","07X","2300 SAN PABLO AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-20 23:00:00","18-014544","VEHICLE THEFT - AUTO","30Y","2800 HAVENSCOURT BLVD","Oakland","CA"
"VANDALISM","2018-03-25 11:21:00","18-015072","VANDALISM","25X","4000 MACARTHUR BLVD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-23 15:00:00","18-015048","VEHICLE THEFT - AUTO","27Y","2000 57TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-11 15:30:00","18-012754","VEHICLE THEFT - AUTO","77X","6500 REDWOOD RD","Oakland","CA"
"THEFT/LARCENY","2018-03-07 20:00:00","18-012283","THEFT","32X","10800 PACKARD ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-05 07:00:00","18-012296","VEHICLE THEFT - AUTO","10X","900 STANFORD AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-11 18:00:00","18-012861","VEHICLE THEFT - AUTO","32X","900 BLENHEIM ST","Oakland","CA"
"ASSAULT","2018-03-21 09:10:00","18-014512","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","04X","2200 TELEGRAPH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-09 14:00:00","18-012863","VEHICLE THEFT - AUTO","30Y","2600 74TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-11 14:00:00","18-012867","VEHICLE THEFT - AUTO","26X","5400 COLISEUM WY","Oakland","CA"
"ASSAULT","2018-03-11 10:00:00","18-012617","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","30Y","7200 BANCROFT AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-10 09:00:00","18-012619","VEHICLE THEFT - AUTO","35Y","100 MAGGIORA DR","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-10 23:00:00","18-012622","VEHICLE THEFT - AUTO","34X","1600 96TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-11 05:30:00","18-012616","VEHICLE THEFT - AUTO","02X","1200 10TH ST","Oakland","CA"
"THEFT/LARCENY","2018-02-28 10:30:00","18-011054","THEFT","20X","1000 26TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-11 04:00:00","18-012624","VEHICLE THEFT - AUTO","25X","3800 35TH AV","Oakland","CA"
"ASSAULT","2018-03-12 22:19:00","18-012894","BATTERY","16X","00 MANDANA CIR","Oakland","CA"
"VANDALISM","2018-03-12 23:33:00","18-012897","VANDALISM","18X","1700 E 19TH ST","Oakland","CA"
"THEFT/LARCENY","2018-05-02 00:00:00","18-018981","THEFT","27Y","5500 HARMON AV","Oakland","CA"
"VANDALISM","2018-05-02 17:50:00","18-018982","VANDALISM","30Y","2600 73RD AV","Oakland","CA"
"ASSAULT","2018-03-22 07:50:00","18-014526","THREAT CRIME:INT:TERRORIZE","15X","300 LESTER AV","Oakland","CA"
"ASSAULT","2018-03-12 14:25:00","18-012900","BATTERY","30Y","7200 BANCROFT AV","Oakland","CA"
"ASSAULT","2018-03-25 07:45:00","18-015049","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","26Y","6800 HAWLEY ST","Oakland","CA"
"ASSAULT","2018-03-24 08:05:00","18-015054","THREAT CRIME:INT:TERRORIZE","27Y","6100 HAYES ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-12 00:01:00","18-012755","VEHICLE THEFT - AUTO","15X","600 BROOKLYN AV","Oakland","CA"
"ROBBERY","2018-03-12 07:55:00","18-012756","ROBBERY-KNIFE OR CUTTING INSTRUMENT","19X","500 INTERNATIONAL BLVD","Oakland","CA"
"ASSAULT","2018-03-12 08:00:00","18-012760","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","34X","9500 BIRCH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-12 06:35:00","18-012761","VEHICLE THEFT - AUTO","17X","1300 E 17TH ST","Oakland","CA"
"THEFT/LARCENY","2018-05-02 03:00:00","18-022064","THEFT","25X","4000 MACARTHUR BLVD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-09 18:00:00","18-012871","VEHICLE THEFT - AUTO","12Y","5300 MILES AV","Oakland","CA"
"ROBBERY","2018-03-12 18:44:00","18-012872","ROBBERY/INHABITED DWELLING - FIREARM","30X","7600 LOCKWOOD ST","Oakland","CA"
"ROBBERY","2018-03-09 14:00:00","18-012875","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","35X","8900 LAWLOR ST","Oakland","CA"
"THEFT/LARCENY","2018-03-12 07:10:00","18-012876","THEFT","33X","1300 88TH AV","Oakland","CA"
"ROBBERY","2018-03-12 19:45:00","18-012877","ROBBERY-FIREARM","24Y","2900 HIGH ST","Oakland","CA"
"WEAPONS","2018-03-11 12:28:00","18-012625","MISD-ILL USE OF TEAR GAS/TEAR GAS WEAPON","15X","300 E 18TH ST","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-03-11 10:50:00","18-012629","IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.","26Y","7000 HAWLEY ST","Oakland","CA"
"THEFT/LARCENY","2018-03-09 18:00:00","18-012479","THEFT:PERSONAL PROPERTY","33X","1200 97TH AV","Oakland","CA"
"ASSAULT","2018-03-10 13:11:00","18-012488","THREAT CRIME:INT:TERRORIZE","03Y","900 BROADWAY","Oakland","CA"
"THEFT/LARCENY","2018-03-09 08:00:00","18-012489","THEFT","08X","400 FAIRMOUNT AV","Oakland","CA"
"ASSAULT","2018-03-10 13:32:00","18-012492","BATTERY","17Y","2400 8TH AV","Oakland","CA"
"ASSAULT","2018-03-11 21:59:00","18-012703","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","26Y","1300 81ST AV","Oakland","CA"
"ASSAULT","2018-03-11 12:38:00","18-012638","OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH","02Y","800 WILLOW ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-11 13:47:00","18-012641","VEHICLE THEFT - AUTO","29X","7100 GREENLY DR","Oakland","CA"
"ASSAULT","2018-03-11 05:00:00","18-012644","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","23X","1600 FRUITVALE AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-11 14:00:00","18-012646","VEHICLE THEFT - AUTO","19X","1000 EMBARCADERO","Oakland","CA"
"DISTURBING THE PEACE","2018-03-11 12:50:00","18-012651","DISTURB THE PEACE","34X","1900 96TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-11 23:30:00","18-012763","VEHICLE THEFT - AUTO","21Y","2600 PRENTISS PL","Oakland","CA"
"BURGLARY","2018-03-12 03:58:00","18-012798","BURGLARY-FORCIBLE ENTRY","13Z","6200 LA SALLE AV","Oakland","CA"
"THEFT/LARCENY","2018-03-11 23:30:00","18-012803","THEFT","24X","3600 NEVIL ST","Oakland","CA"
"THEFT/LARCENY","2018-03-11 22:00:00","18-012810","THEFT","32X","10900 INTERNATIONAL BLVD","Oakland","CA"
"THEFT/LARCENY","2018-03-12 11:46:00","18-012811","THEFT","27X","1600 HIGH ST","Oakland","CA"
"ASSAULT","2018-03-12 09:15:00","18-012769","BATTERY","03X","13TH ST & JACKSON ST","Oakland","CA"
"THEFT/LARCENY","2018-03-04 20:30:00","18-012315","THEFT","03Y","400 7TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-19 15:00:00","18-010495","VEHICLE THEFT - AUTO","22X","3800 LYMAN RD","Oakland","CA"
"VANDALISM","2018-05-02 13:32:00","18-021977","VANDALISM","07X","2300 SAN PABLO AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-21 13:05:00","18-014513","VEHICLE THEFT - AUTO","29X","6400 BRANN ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-12 07:50:00","18-012879","VEHICLE THEFT - AUTO","24X","2000 40TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-08 22:00:00","18-012321","VEHICLE THEFT - AUTO","10X","1100 61ST ST","Oakland","CA"
"ASSAULT","2018-03-10 14:57:00","18-012509","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","32X","900 107TH AV","Oakland","CA"
"ASSAULT","2018-03-10 16:00:00","18-012511","ATTEMPTED MURDER-FIREARM","34X","1800 96TH AV","Oakland","CA"
"ASSAULT","2018-03-10 14:00:00","18-012494","BATTERY","04X","500 16TH ST","Oakland","CA"
"ASSAULT","2018-03-10 17:23:00","18-012523","BATTERY","20X","1400 FRUITVALE AV","Oakland","CA"
"VANDALISM","2018-03-10 09:00:00","18-012507","VANDALISM [$400 TO $5,000]","09X","4000 PANAMA CT","Oakland","CA"
