CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,LOCATION,CITY,STATE
PROSTITUTION,01/15/2015 07:57:00 PM,15-002873,DISORDERLY CONDUCT:SOLICIT LEWD ACT,23X,4240 INTERNATIONAL BLVD,Oakland,CA
OTHER,01/15/2015 08:22:00 PM,15-002865,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
PROSTITUTION,01/22/2015 04:45:00 PM,15-004158,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
PROSTITUTION,01/22/2015 04:51:00 PM,15-004165,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
PROSTITUTION,01/22/2015 05:20:00 PM,15-004155,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
PROSTITUTION,01/22/2015 05:48:00 PM,15-004163,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
PROSTITUTION,01/22/2015 05:51:00 PM,15-004191,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO COVE,Oakland,CA
PROSTITUTION,01/22/2015 06:15:00 PM,15-004171,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO COVE,Oakland,CA
PROSTITUTION,01/22/2015 06:36:00 PM,15-004178,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO COVE,Oakland,CA
PROSTITUTION,01/22/2015 08:00:00 PM,15-004189,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
PROSTITUTION,01/28/2015 02:00:00 PM,15-005371,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/28/2015 02:00:00 PM,15-005355,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/28/2015 02:00:00 PM,15-005341,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/28/2015 02:00:00 PM,15-005324,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/28/2015 02:00:00 PM,15-005363,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/28/2015 03:40:00 PM,15-005320,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/28/2015 04:35:00 PM,15-005335,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/28/2015 07:30:00 PM,15-005368,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/28/2015 07:40:00 PM,15-005372,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/28/2015 07:52:00 PM,15-005373,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/29/2015 06:50:00 PM,15-005568,DISORDERLY CONDUCT:PROSTITUTION,23X,1200 40TH AV,Oakland,CA
PROSTITUTION,02/03/2015 04:30:00 PM,15-006526,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,02/03/2015 07:40:00 PM,15-006530,DISORDERLY CONDUCT:PROSTITUTION,31Y,698 HEGENBERGER RD,Oakland,CA
PROSTITUTION,02/04/2015 09:00:00 PM,15-046806,DISORDERLY CONDUCT:PROSTITUTION,23X,1400 36TH AVE,Oakland,CA
DISORDERLY CONDUCT,02/10/2015 05:16:00 PM,15-007827,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 19TH AV,Oakland,CA
DISORDERLY CONDUCT,02/10/2015 05:16:00 PM,15-007827,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 19TH AV,Oakland,CA
PROSTITUTION,02/10/2015 05:20:00 PM,15-007828,DISORDERLY CONDUCT:PROSTITUTION,23X,3600 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,02/10/2015 06:42:00 PM,15-007845,DISORDERLY CONDUCT:PROSTITUTION,19X,2000 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,02/10/2015 06:42:00 PM,15-007845,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,2000 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,02/10/2015 06:48:00 PM,15-007842,DISORDERLY CONDUCT:PROSTITUTION,18X,1700 18TH AV,Oakland,CA
PROSTITUTION,02/10/2015 06:48:00 PM,15-007842,DISORDERLY CONDUCT:SOLICIT LEWD ACT,18X,1700 18TH AV,Oakland,CA
PROSTITUTION,02/10/2015 07:27:00 PM,15-007851,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 28TH AV,Oakland,CA
PROSTITUTION,02/10/2015 08:05:00 PM,15-007854,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 19TH AV,Oakland,CA
PROSTITUTION,02/10/2015 08:05:00 PM,15-007854,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 19TH AV,Oakland,CA
PROSTITUTION,02/11/2015 09:00:00 AM,15-008015,DISORDERLY CONDUCT:PROSTITUTION,34X,9020 BIRCH ST,Oakland,CA
PROSTITUTION,02/11/2015 03:32:00 PM,15-007998,DISORDERLY CONDUCT:PROSTITUTION,01X,10 WASHINGTON ST,Oakland,CA
PROSTITUTION,02/11/2015 03:48:00 PM,15-008031,DISORDERLY CONDUCT:PROSTITUTION,01X,10 WASHINGTON ST,Oakland,CA
PROSTITUTION,02/11/2015 04:16:00 PM,15-008014,DISORDERLY CONDUCT:PROSTITUTION,01X,10 WASHINGTON ST,Oakland,CA
PROSTITUTION,02/11/2015 04:20:00 PM,15-008002,DISORDERLY CONDUCT:PROSTITUTION,01X,10 WASHINGTON ST,Oakland,CA
PROSTITUTION,02/11/2015 04:32:00 PM,15-008006,DISORDERLY CONDUCT:PROSTITUTION,01X,10 WASHINGTON ST,Oakland,CA
PROSTITUTION,02/11/2015 04:43:00 PM,15-008013,DISORDERLY CONDUCT:PROSTITUTION,01X,10 WASHINGTON ST,Oakland,CA
PROSTITUTION,02/11/2015 04:45:00 PM,15-008008,DISORDERLY CONDUCT:PROSTITUTION,01X,10 WASHINGTON ST,Oakland,CA
PROSTITUTION,02/11/2015 05:48:00 PM,15-008030,DISORDERLY CONDUCT:PROSTITUTION,01X,10 WASHINGTON ST,Oakland,CA
PROSTITUTION,02/18/2015 05:03:00 PM,15-009249,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 18TH AV,Oakland,CA
PROSTITUTION,02/18/2015 05:03:00 PM,15-009249,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 18TH AV,Oakland,CA
PROSTITUTION,02/18/2015 05:40:00 PM,15-009260,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 19TH AV,Oakland,CA
PROSTITUTION,02/18/2015 05:40:00 PM,15-009260,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 19TH AV,Oakland,CA
PROSTITUTION,02/18/2015 05:50:00 PM,15-009263,DISORDERLY CONDUCT:PROSTITUTION,19X,17TH AV & INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,02/18/2015 05:50:00 PM,15-009263,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,17TH AV & INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,02/18/2015 06:47:00 PM,15-009274,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 18TH AV,Oakland,CA
PROSTITUTION,02/18/2015 06:47:00 PM,15-009274,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 18TH AV,Oakland,CA
PROSTITUTION,02/18/2015 07:24:00 PM,15-009278,DISORDERLY CONDUCT:PROSTITUTION,19X,2000 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,02/18/2015 07:24:00 PM,15-009278,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,2000 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,02/18/2015 07:38:00 PM,15-009282,DISORDERLY CONDUCT:PROSTITUTION,23X,1300 39TH AV,Oakland,CA
PROSTITUTION,02/18/2015 07:38:00 PM,15-009282,DISORDERLY CONDUCT:SOLICIT LEWD ACT,23X,1300 39TH AV,Oakland,CA
PROSTITUTION,02/19/2015 03:00:00 PM,15-009432,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,02/19/2015 04:15:00 PM,15-009443,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO COVE,Oakland,CA
PROSTITUTION,02/24/2015 04:57:00 PM,15-010393,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,NE CORNER 17TH AVE. & INTERNATIONAL BLVD.,Oakland,CA
PROSTITUTION,02/24/2015 04:57:00 PM,15-010393,DISORDERLY CONDUCT:PROSTITUTION,19X,NE CORNER 17TH AVE. & INTERNATIONAL BLVD.,Oakland,CA
PROSTITUTION,02/24/2015 06:34:00 PM,15-010411,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 MITCHELL ST,Oakland,CA
OTHER SEX OFFENSES,02/24/2015 06:50:00 PM,15-010414,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 19TH AV,Oakland,CA
OTHER SEX OFFENSES,02/24/2015 07:15:00 PM,15-010419,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,800 INTERNATIONAL BLVD,Oakland,CA
OTHER SEX OFFENSES,02/24/2015 07:21:00 PM,15-010418,DISORDERLY CONDUCT:SOLICIT LEWD ACT,20X,1400 27TH AV,Oakland,CA
OTHER SEX OFFENSES,02/24/2015 07:21:00 PM,15-010418,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 27TH AV,Oakland,CA
OTHER SEX OFFENSES,02/24/2015 07:31:00 PM,15-010420,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 12TH AV,Oakland,CA
PROSTITUTION,02/25/2015 05:00:00 PM,15-010601,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,02/25/2015 05:00:00 PM,15-010613,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,02/25/2015 05:00:00 PM,15-010593,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,02/25/2015 05:04:00 PM,15-010579,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,02/25/2015 05:30:00 PM,15-010603,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,02/25/2015 05:50:00 PM,15-010610,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,02/25/2015 05:52:00 PM,15-010611,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,02/25/2015 06:03:00 PM,15-010608,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,02/25/2015 06:21:00 PM,15-010615,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,02/25/2015 06:49:00 PM,15-010628,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,02/25/2015 07:09:00 PM,15-010630,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,02/25/2015 07:12:00 PM,15-010629,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,03/02/2015 04:47:00 PM,15-011510,DISORDERLY CONDUCT:PROSTITUTION,03X,325 13TH ST.,Oakland,CA
PROSTITUTION,03/02/2015 07:00:00 PM,15-011526,DISORDERLY CONDUCT:PROSTITUTION,19X,1000 E 12TH ST,Oakland,CA
PROSTITUTION,03/09/2015 05:00:00 PM,15-012758,DISORDERLY CONDUCT:PROSTITUTION,31X,302 PENDLETON WY,Oakland,CA
PROSTITUTION,03/12/2015 04:30:00 PM,15-013378,DISORDERLY CONDUCT:PROSTITUTION,31Y,150 HEGENBERGER RD,Oakland,CA
PROSTITUTION,03/12/2015 05:00:00 PM,15-013384,DISORDERLY CONDUCT:PROSTITUTION,31Y,150 HEGENBERGER RD,Oakland,CA
